timestamp,home_id,device_id,device_loc,reading_type,reading_value
2017-07-26 12:38:12,thk,4999,,disconnected,1
2017-07-26 12:41:21,thk,4999,,datausage,0.44278
2017-07-26 12:41:21,thk,4999,,memusage,21.04
2017-07-26 12:41:21,thk,4999,,uptime,415
2017-07-26 12:41:52,thk,4999,,datausage,0.472278
2017-07-26 12:41:52,thk,4999,,memusage,19.67
2017-07-26 12:41:52,thk,4999,,uptime,447
2017-07-26 12:41:55,thk,4999,,disconnected,1
2017-07-26 12:42:18,thk,4999,,datausage,0.497789
2017-07-26 12:42:18,thk,4999,,memusage,20.70
2017-07-26 12:42:18,thk,4999,,uptime,473
2017-07-26 12:42:47,thk,4999,,disconnected,1
2017-07-26 12:42:55,thk,4999,,disconnected,1
2017-07-26 12:47:18,thk,4999-daadd352f240,,beacon,1
2017-07-26 12:51:18,thk,4999-daadd352f240,,beacon,1
2017-07-26 12:55:18,thk,4999-daadd352f240,,beacon,1
2017-07-26 12:59:18,thk,4999-daadd352f240,,beacon,1
2017-07-26 13:01:48,thk,4999,,disconnected,1
2017-07-27 12:05:02,thk,4999,,disconnected,1
2017-07-27 12:05:25,thk,4999,,datausage,0.571342
2017-07-27 12:05:25,thk,4999,,memusage,20.29
2017-07-27 12:05:25,thk,4999,,uptime,2086
2017-07-27 13:05:11,thk,4999-c3025466c4d6,,battery_voltage,2.892
2017-07-27 13:05:11,thk,4999-c3025466c4d6,,beacon,1
2017-07-27 13:05:25,thk,4999,,datausage,1.430883
2017-07-27 13:05:25,thk,4999,,memusage,18.72
2017-07-27 13:05:25,thk,4999,,uptime,5686
2017-07-27 13:09:11,thk,4999-c3025466c4d6,,beacon,1
2017-07-27 14:05:10,thk,4999-c3025466c4d6,,battery_voltage,2.88
2017-07-27 14:05:26,thk,4999,,datausage,2.28026
2017-07-27 14:05:26,thk,4999,,memusage,18.75
2017-07-27 14:05:26,thk,4999,,uptime,9286
2017-07-27 14:09:11,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:13:11,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:17:11,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:21:11,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:25:11,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:29:10,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:33:10,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:37:11,thk,4999-c87c99d01536,,beacon,1
2017-07-27 14:41:10,thk,4999-c87c99d01536,,beacon,1
2017-07-27 15:05:11,thk,4999-c87c99d01536,,battery_voltage,2.949
2017-07-27 15:05:26,thk,4999,,datausage,3.125163
2017-07-27 15:05:26,thk,4999,,memusage,18.91
2017-07-27 15:05:26,thk,4999,,uptime,12886
2017-07-27 15:25:11,thk,4999-f234d8ad941a,,beacon,1
2017-07-27 15:33:11,thk,4999-f234d8ad941a,,beacon,1
2017-07-27 15:37:11,thk,4999-f234d8ad941a,,beacon,1
2017-07-27 16:05:11,thk,4999-f234d8ad941a,,battery_voltage,2.949
